Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Foreston city, Mille Lacs County, Minnesota",571,565,3,0,0,0,3,571,3,568,571,0
"Greenbush township, Mille Lacs County, Minnesota",1221,1166,4,48,10,0,3,1221,11,1210,1211,10
"Hayland township, Mille Lacs County, Minnesota",595,592,0,0,0,0,3,595,1,594,595,0
"Isle city, Mille Lacs County, Minnesota",789,630,22,169,3,1,0,789,38,751,754,35
"Isle Harbor township, Mille Lacs County, Minnesota",499,476,0,35,0,2,0,499,15,484,485,14
"Kathio township, Mille Lacs County, Minnesota",1353,513,52,780,42,0,11,1353,43,1310,1308,45
"Lewis township, Mille Lacs County, Minnesota",35,35,0,0,0,0,0,35,0,35,35,0
"Milaca city, Mille Lacs County, Minnesota",2881,2832,68,149,0,0,5,2881,74,2807,2708,173
"Milaca township, Mille Lacs County, Minnesota",1678,1660,2,42,8,0,0,1678,76,1602,1644,34
"Milo township, Mille Lacs County, Minnesota",1488,1476,4,3,10,0,0,1488,27,1461,1483,5
"Mudgett township, Mille Lacs County, Minnesota",58,57,0,1,0,0,0,58,0,58,58,0
"Onamia city, Mille Lacs County, Minnesota",939,825,63,145,11,0,0,939,19,920,850,89
"Onamia township, Mille Lacs County, Minnesota",521,506,2,15,0,0,0,521,3,518,519,2
"Page township, Mille Lacs County, Minnesota",713,703,9,18,5,2,7,713,27,686,688,25
"Pease city, Mille Lacs County, Minnesota",223,214,0,0,9,0,0,223,0,223,223,0
"Princeton city, Mille Lacs County, Minnesota",4589,4463,36,167,78,20,23,4589,161,4428,4391,198
"Princeton township, Mille Lacs County, Minnesota",2130,2081,22,30,9,0,0,2130,9,2121,2118,12
"South Harbor township, Mille Lacs County, Minnesota",727,628,17,126,2,0,4,727,20,707,677,50
"Wahkon city, Mille Lacs County, Minnesota",217,208,5,7,0,0,0,217,4,213,214,3
"Agram township, Morrison County, Minnesota",476,466,0,0,12,0,0,476,2,474,474,2
"Belle Prairie township, Morrison County, Minnesota",698,698,17,12,0,0,0,698,22,676,681,17
"Bellevue township, Morrison County, Minnesota",973,955,5,13,0,0,0,973,6,967,973,0
"Bowlus city, Morrison County, Minnesota",327,325,0,1,0,2,1,327,1,326,325,2
"Buckman city, Morrison County, Minnesota",277,276,0,0,1,0,0,277,0,277,277,0
"Buckman township, Morrison County, Minnesota",710,704,0,0,0,0,6,710,19,691,710,0
"Buh township, Morrison County, Minnesota",464,456,0,0,0,0,8,464,8,456,464,0
"Culdrum township, Morrison County, Minnesota",519,474,0,5,0,0,45,519,45,474,514,5
"Cushing township, Morrison County, Minnesota",778,774,9,13,1,0,0,778,6,772,759,19
"Darling township, Morrison County, Minnesota",541,540,16,0,1,0,0,541,0,541,525,16
"Elmdale city, Morrison County, Minnesota",65,65,0,0,0,0,0,65,0,65,65,0
"Elmdale township, Morrison County, Minnesota",1000,991,0,0,0,0,9,1000,14,986,1000,0
"Flensburg city, Morrison County, Minnesota",241,239,0,7,2,0,0,241,0,241,234,7
"Genola city, Morrison County, Minnesota",72,72,0,0,0,0,0,72,0,72,72,0
"Granite township, Morrison County, Minnesota",519,515,4,0,0,0,0,519,4,515,519,0
"Green Prairie township, Morrison County, Minnesota",706,684,0,17,10,0,0,706,8,698,701,5
"Harding city, Morrison County, Minnesota",158,153,0,3,2,0,0,158,0,158,158,0
"Hillman city, Morrison County, Minnesota",39,39,0,0,0,0,0,39,0,39,39,0
"Hillman township, Morrison County, Minnesota",198,196,0,0,2,0,0,198,0,198,198,0
"Lakin township, Morrison County, Minnesota",409,405,3,3,2,0,1,409,6,403,404,5
"Lastrup city, Morrison County, Minnesota",181,181,0,0,0,0,0,181,0,181,181,0
"Leigh township, Morrison County, Minnesota",234,224,11,12,1,0,0,234,0,234,220,14
"Little Falls city, Morrison County, Minnesota",8648,8330,237,91,85,0,90,8648,91,8557,8463,185
"Little Falls township, Morrison County, Minnesota",1641,1605,0,5,33,0,0,1641,0,1641,1639,2
"Morrill township, Morrison County, Minnesota",762,755,0,7,0,0,0,762,3,759,762,0
"Motley city, Morrison County, Minnesota",600,594,4,6,0,0,0,600,38,562,596,4
"Motley township, Morrison County, Minnesota",221,221,0,0,0,0,0,221,0,221,221,0
"Mount Morris township, Morrison County, Minnesota",83,83,0,9,0,0,0,83,0,83,74,9
"Parker township, Morrison County, Minnesota",507,505,0,2,0,0,0,507,4,503,507,0
"Pierz city, Morrison County, Minnesota",1509,1500,0,26,10,0,0,1509,20,1489,1482,27
"Pierz township, Morrison County, Minnesota",604,597,4,1,4,0,0,604,0,604,602,2
"Pike Creek township, Morrison County, Minnesota",965,933,0,12,5,0,38,965,20,945,942,23
"Platte township, Morrison County, Minnesota",322,321,0,0,1,0,0,322,2,320,322,0
"Pulaski township, Morrison County, Minnesota",295,288,0,0,0,0,7,295,7,288,295,0
"Randall city, Morrison County, Minnesota",659,659,0,0,0,0,0,659,17,642,659,0
"Richardson township, Morrison County, Minnesota",470,470,0,0,1,0,0,470,0,470,469,1
"Ripley township, Morrison County, Minnesota",696,694,0,2,2,0,0,696,3,693,694,2
"Rosing township, Morrison County, Minnesota",127,127,0,0,4,0,0,127,0,127,123,4
"Royalton city, Morrison County, Minnesota",1206,1202,0,16,5,0,0,1206,49,1157,1189,17
"Scandia Valley township, Morrison County, Minnesota",1070,1066,0,4,0,0,0,1070,17,1053,1070,0
"Sobieski city, Morrison County, Minnesota",186,186,1,2,0,0,0,186,0,186,183,3
"Swan River township, Morrison County, Minnesota",629,616,13,0,0,0,0,629,15,614,629,0
"Swanville city, Morrison County, Minnesota",376,376,0,0,0,0,0,376,22,354,376,0
"Swanville township, Morrison County, Minnesota",469,468,0,1,0,0,1,469,1,468,468,1
"Two Rivers township, Morrison County, Minnesota",714,710,0,0,8,0,0,714,15,699,710,4
"Upsala city, Morrison County, Minnesota",536,504,0,3,0,0,32,536,53,483,533,3
"Adams city, Mower County, Minnesota",730,714,14,0,4,0,0,730,9,721,728,2
"Adams township, Mower County, Minnesota",410,410,0,0,0,0,0,410,21,389,410,0
"Austin city, Mower County, Minnesota",24882,22081,1527,162,1125,154,584,24882,3939,20943,24155,727
"Austin township, Mower County, Minnesota",959,952,2,0,7,0,2,959,2,957,955,4
"Bennington township, Mower County, Minnesota",128,128,0,2,0,0,0,128,0,128,126,2
"Brownsdale city, Mower County, Minnesota",649,643,0,0,6,0,0,649,10,639,649,0
"Clayton township, Mower County, Minnesota",173,172,0,0,1,0,0,173,0,173,173,0
"Dexter city, Mower County, Minnesota",314,306,7,0,1,0,0,314,0,314,314,0
"Dexter township, Mower County, Minnesota",280,276,0,2,3,0,0,280,5,275,279,1
"Elkton city, Mower County, Minnesota",90,85,0,0,0,0,5,90,5,85,90,0
"Frankford township, Mower County, Minnesota",401,401,0,0,0,0,0,401,0,401,401,0
"Grand Meadow city, Mower County, Minnesota",1132,1102,39,4,7,0,0,1132,25,1107,1112,20
"Grand Meadow township, Mower County, Minnesota",249,247,0,5,0,0,0,249,0,249,246,3
"Lansing township, Mower County, Minnesota",1117,1003,0,1,99,0,14,1117,41,1076,1117,0
"Le Roy city, Mower County, Minnesota",983,958,74,21,4,0,0,983,22,961,909,74
"Le Roy township, Mower County, Minnesota",261,256,0,1,5,0,0,261,14,247,260,1
"Lodi township, Mower County, Minnesota",226,226,0,0,0,0,0,226,1,225,226,0
"Lyle city, Mower County, Minnesota",502,497,0,33,3,0,0,502,0,502,471,31
"Lyle township, Mower County, Minnesota",299,299,8,2,0,0,0,299,0,299,289,10
"Mapleview city, Mower County, Minnesota",139,139,0,0,0,0,0,139,10,129,139,0
"Marshall township, Mower County, Minnesota",402,391,2,0,11,0,0,402,0,402,400,2
"Nevada township, Mower County, Minnesota",453,453,0,0,0,0,0,453,8,445,453,0
"Pleasant Valley township, Mower County, Minnesota",277,270,4,1,0,4,2,277,2,275,273,4
"Racine city, Mower County, Minnesota",430,429,5,0,0,0,1,430,3,427,425,5
"Racine township, Mower County, Minnesota",585,563,22,0,0,0,0,585,0,585,585,0
"Red Rock township, Mower County, Minnesota",750,750,8,3,5,2,0,750,0,750,735,15
"Rose Creek city, Mower County, Minnesota",435,432,0,2,3,0,0,435,32,403,433,2
"Sargeant city, Mower County, Minnesota",50,50,0,0,0,0,0,50,0,50,50,0
"Sargeant township, Mower County, Minnesota",361,354,0,0,7,0,0,361,5,356,361,0
"Taopi city, Mower County, Minnesota",51,51,0,0,0,0,0,51,0,51,51,0
"Udolpho township, Mower County, Minnesota",475,470,5,0,0,0,0,475,2,473,475,0
"Waltham city, Mower County, Minnesota",136,135,0,1,0,0,0,136,16,120,136,0
"Waltham township, Mower County, Minnesota",403,398,2,0,7,0,0,403,0,403,399,4
"Windom township, Mower County, Minnesota",654,607,0,0,0,0,47,654,162,492,654,0
"Avoca city, Murray County, Minnesota",101,101,0,0,0,0,0,101,1,100,101,0
"Belfast township, Murray County, Minnesota",223,223,0,0,0,0,0,223,0,223,223,0
"Bondin township, Murray County, Minnesota",306,306,0,0,0,0,0,306,5,301,306,0
"Cameron township, Murray County, Minnesota",133,133,0,0,0,0,0,133,1,132,133,0
"Chanarambie township, Murray County, Minnesota",243,218,29,3,5,0,0,243,9,234,231,12
"Chandler city, Murray County, Minnesota",325,281,0,2,28,0,16,325,85,240,323,2
"Currie city, Murray County, Minnesota",215,215,0,0,0,0,0,215,3,212,215,0
"Des Moines River township, Murray County, Minnesota",108,108,0,0,0,0,0,108,0,108,108,0
"Dovray city, Murray County, Minnesota",60,60,0,0,0,0,0,60,0,60,60,0
"Dovray township, Murray County, Minnesota",136,136,0,0,0,0,0,136,0,136,136,0
"Ellsborough township, Murray County, Minnesota",163,158,0,0,0,0,5,163,5,158,163,0
"Fenton township, Murray County, Minnesota",132,132,0,0,0,0,0,132,0,132,132,0
"Fulda city, Murray County, Minnesota",1291,1223,18,29,52,0,0,1291,101,1190,1260,31
"Hadley city, Murray County, Minnesota",53,53,0,0,0,0,0,53,0,53,53,0
"Holly township, Murray County, Minnesota",92,92,3,0,0,0,0,92,0,92,89,3
"Iona city, Murray County, Minnesota",135,133,0,0,2,0,0,135,2,133,135,0
"Iona township, Murray County, Minnesota",118,118,0,0,0,0,0,118,0,118,118,0
"Lake Sarah township, Murray County, Minnesota",369,360,5,8,0,0,0,369,4,365,365,4
"Lake Wilson city, Murray County, Minnesota",255,255,0,0,0,0,0,255,1,254,255,0
"Leeds township, Murray County, Minnesota",243,243,0,0,5,0,0,243,33,210,238,5
"Lime Lake township, Murray County, Minnesota",207,207,0,0,0,0,0,207,6,201,207,0
"Lowville township, Murray County, Minnesota",192,192,0,0,0,0,0,192,1,191,192,0
"Mason township, Murray County, Minnesota",321,321,0,3,0,0,0,321,0,321,318,3
"Moulton township, Murray County, Minnesota",153,149,0,0,4,0,0,153,0,153,153,0
"Murray township, Murray County, Minnesota",144,144,0,0,3,0,0,144,0,144,141,3
"Shetek township, Murray County, Minnesota",294,284,8,0,0,0,2,294,10,284,294,0
"Skandia township, Murray County, Minnesota",133,133,0,0,0,0,0,133,0,133,133,0
"Slayton city, Murray County, Minnesota",1979,1949,20,0,3,0,7,1979,34,1945,1979,0
"Slayton township, Murray County, Minnesota",270,270,0,0,0,0,0,270,0,270,270,0
"Belgrade township, Nicollet County, Minnesota",1030,1027,0,0,6,0,0,1030,5,1025,1027,3
"Bernadotte township, Nicollet County, Minnesota",248,248,0,0,0,0,0,248,11,237,248,0
"Brighton township, Nicollet County, Minnesota",160,160,0,0,0,0,0,160,8,152,160,0
"Courtland city, Nicollet County, Minnesota",657,657,0,0,0,0,0,657,12,645,657,0
"Courtland township, Nicollet County, Minnesota",582,582,0,0,0,0,0,582,9,573,582,0
"Granby township, Nicollet County, Minnesota",204,204,0,0,0,0,0,204,0,204,204,0
"Lafayette city, Nicollet County, Minnesota",450,450,16,1,2,0,0,450,0,450,431,19
"Lafayette township, Nicollet County, Minnesota",695,695,0,0,0,0,0,695,0,695,695,0
"Lake Prairie township, Nicollet County, Minnesota",767,752,13,0,15,0,0,767,50,717,754,13
"Le Sueur city, Nicollet County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Mankato city, Nicollet County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"New Sweden township, Nicollet County, Minnesota",208,207,1,0,1,0,0,208,4,204,207,1
"Nicollet city, Nicollet County, Minnesota",1151,1140,0,11,0,0,11,1151,113,1038,1140,11
"Nicollet township, Nicollet County, Minnesota",575,574,1,1,0,0,1,575,1,574,573,2
"North Mankato city, Nicollet County, Minnesota",13583,12520,772,31,244,0,166,13583,327,13256,13433,150
"Oshawa township, Nicollet County, Minnesota",731,709,4,0,8,0,33,731,43,688,708,23
"Ridgely township, Nicollet County, Minnesota",79,79,0,0,0,0,0,79,0,79,79,0
"St. Peter city, Nicollet County, Minnesota",11682,10850,391,181,425,0,121,11682,844,10838,11406,276
"Traverse township, Nicollet County, Minnesota",268,264,0,2,0,0,2,268,2,266,268,0
"West Newton township, Nicollet County, Minnesota",407,407,1,0,1,0,0,407,2,405,405,2
"Adrian city, Nobles County, Minnesota",1198,1121,19,24,56,0,16,1198,35,1163,1160,38
"Bigelow city, Nobles County, Minnesota",225,221,8,0,0,0,2,225,90,135,219,6
"Bigelow township, Nobles County, Minnesota",375,348,0,0,0,0,27,375,27,348,375,0
"Bloom township, Nobles County, Minnesota",125,125,0,0,0,0,0,125,0,125,125,0
"Brewster city, Nobles County, Minnesota",515,484,7,0,9,0,20,515,62,453,510,5
"Dewald township, Nobles County, Minnesota",255,250,0,5,0,0,0,255,22,233,255,0
"Dundee city, Nobles County, Minnesota",83,83,0,0,0,0,0,83,0,83,83,0
"Elk township, Nobles County, Minnesota",259,259,0,0,0,0,0,259,13,246,259,0
"Ellsworth city, Nobles County, Minnesota",512,496,49,0,0,0,4,512,4,508,475,37
"Graham Lakes township, Nobles County, Minnesota",204,204,0,0,0,0,0,204,0,204,204,0
"Grand Prairie township, Nobles County, Minnesota",238,234,0,4,0,0,0,238,3,235,238,0
"Hersey township, Nobles County, Minnesota",183,183,0,0,0,0,0,183,2,181,183,0
"Indian Lake township, Nobles County, Minnesota",237,237,2,0,0,0,0,237,0,237,235,2
"Kinbrae city, Nobles County, Minnesota",4,4,0,0,0,0,0,4,0,4,4,0
"Larkin township, Nobles County, Minnesota",188,184,4,0,2,0,1,188,0,188,185,3
"Leota township, Nobles County, Minnesota",379,372,0,0,7,0,0,379,0,379,379,0
"Lismore city, Nobles County, Minnesota",231,228,3,0,0,0,0,231,60,171,231,0
"Lismore township, Nobles County, Minnesota",184,182,0,0,0,0,2,184,17,167,184,0
"Little Rock township, Nobles County, Minnesota",183,176,0,0,0,5,2,183,2,181,183,0
"Lorain township, Nobles County, Minnesota",337,335,0,0,0,0,2,337,11,326,337,0
"Olney township, Nobles County, Minnesota",179,177,2,0,0,0,0,179,0,179,179,0
"Ransom township, Nobles County, Minnesota",171,157,0,13,1,0,0,171,0,171,171,0
"Round Lake city, Nobles County, Minnesota",439,422,0,10,14,0,2,439,13,426,430,9
"Rushmore city, Nobles County, Minnesota",320,304,6,0,4,2,6,320,16,304,318,2
"Seward township, Nobles County, Minnesota",175,172,5,0,0,0,0,175,7,168,173,2
"Summit Lake township, Nobles County, Minnesota",427,424,0,0,0,9,3,427,25,402,418,9
"Westside township, Nobles County, Minnesota",204,195,9,5,0,0,0,204,0,204,199,5
"Wilmont city, Nobles County, Minnesota",415,397,0,6,12,0,0,415,30,385,415,0
"Wilmont township, Nobles County, Minnesota",135,135,0,0,0,0,0,135,0,135,135,0
"Worthington city, Nobles County, Minnesota",13142,8979,945,100,1402,5,1956,13142,5418,7724,12897,245
"Worthington township, Nobles County, Minnesota",332,326,0,0,3,1,4,332,6,326,330,2
"Ada city, Norman County, Minnesota",1795,1644,20,92,6,0,73,1795,157,1638,1755,40
"Anthony township, Norman County, Minnesota",82,82,0,0,0,0,0,82,11,71,82,0
"Bear Park township, Norman County, Minnesota",153,147,2,0,6,0,0,153,0,153,151,2
"Borup city, Norman County, Minnesota",76,73,0,6,3,0,0,76,21,55,70,6
"Flom township, Norman County, Minnesota",193,188,0,22,0,0,0,193,0,193,176,17
"Fossum township, Norman County, Minnesota",122,112,0,7,6,0,0,122,0,122,119,3
"Gary city, Norman County, Minnesota",305,274,24,0,7,0,0,305,0,305,305,0
"Good Hope township, Norman County, Minnesota",47,47,0,0,0,0,0,47,0,47,47,0
"Green Meadow township, Norman County, Minnesota",70,70,0,0,0,0,0,70,0,70,70,0
"Halstad city, Norman County, Minnesota",636,604,6,29,4,4,7,636,58,578,618,18
"Halstad township, Norman County, Minnesota",89,89,0,0,0,0,0,89,0,89,89,0
"Hegne township, Norman County, Minnesota",37,37,0,5,0,0,0,37,0,37,32,5
"Hendrum city, Norman County, Minnesota",347,342,0,8,8,0,0,347,8,339,336,11
"Hendrum township, Norman County, Minnesota",86,83,0,0,3,0,0,86,2,84,86,0
"Home Lake township, Norman County, Minnesota",95,95,0,0,0,0,0,95,0,95,95,0
"Lake Ida township, Norman County, Minnesota",125,125,0,2,0,0,0,125,0,125,123,2
"Lee township, Norman County, Minnesota",107,107,0,4,0,0,0,107,0,107,103,4
"Lockhart township, Norman County, Minnesota",53,53,0,0,0,0,2,53,0,53,51,2
"McDonaldsville township, Norman County, Minnesota",181,177,4,0,0,0,0,181,0,181,181,0
"Mary township, Norman County, Minnesota",75,71,0,4,0,0,0,75,0,75,75,0
"Perley city, Norman County, Minnesota",49,49,0,0,0,0,0,49,0,49,49,0
"Pleasant View township, Norman County, Minnesota",99,99,0,17,4,0,0,99,9,90,78,21
"Rockwell township, Norman County, Minnesota",78,78,0,0,0,0,0,78,0,78,78,0
"Shelly city, Norman County, Minnesota",140,132,0,8,0,0,0,140,36,104,140,0
"Shelly township, Norman County, Minnesota",114,114,0,0,0,0,0,114,9,105,114,0
"Spring Creek township, Norman County, Minnesota",74,62,0,0,12,12,0,74,12,62,62,12
"Strand township, Norman County, Minnesota",85,73,0,12,0,0,0,85,5,80,85,0
"Sundal township, Norman County, Minnesota",149,140,9,0,0,0,0,149,0,149,149,0
"Twin Valley city, Norman County, Minnesota",781,765,4,11,7,0,0,781,0,781,775,6
"Waukon township, Norman County, Minnesota",82,76,0,8,0,0,0,82,0,82,80,2
"Wild Rice township, Norman County, Minnesota",211,208,0,3,0,0,0,211,0,211,211,0
"Winchester township, Norman County, Minnesota",53,53,0,0,0,0,0,53,0,53,53,0
"Byron city, Olmsted County, Minnesota",5272,5218,31,39,19,0,32,5272,23,5249,5205,67
"Cascade township, Olmsted County, Minnesota",2869,2716,10,0,139,0,18,2869,42,2827,2855,14
"Chatfield city, Olmsted County, Minnesota",1241,1233,5,9,0,0,8,1241,48,1193,1232,9
"Dover city, Olmsted County, Minnesota",819,808,3,2,3,0,8,819,27,792,814,5
"Dover township, Olmsted County, Minnesota",370,356,2,1,0,0,12,370,12,358,369,1
"Elmira township, Olmsted County, Minnesota",386,383,0,0,3,0,0,386,0,386,386,0
"Eyota city, Olmsted County, Minnesota",1850,1799,18,4,33,0,24,1850,46,1804,1822,28
"Eyota township, Olmsted County, Minnesota",413,392,4,0,3,0,14,413,16,397,413,0
"Farmington township, Olmsted County, Minnesota",421,419,0,0,2,0,0,421,5,416,421,0
"Haverhill township, Olmsted County, Minnesota",1501,1404,24,5,91,0,13,1501,5,1496,1468,33
"High Forest township, Olmsted County, Minnesota",1229,1218,3,0,5,0,3,1229,10,1219,1229,0
"Kalmar township, Olmsted County, Minnesota",1230,1226,0,0,4,0,0,1230,77,1153,1230,0
"Marion township, Olmsted County, Minnesota",3799,3689,72,6,57,0,7,3799,62,3737,3767,32
"New Haven township, Olmsted County, Minnesota",1084,1081,0,3,12,0,3,1084,8,1076,1069,15
"Orion township, Olmsted County, Minnesota",699,699,0,6,11,0,0,699,11,688,682,17
"Oronoco city, Olmsted County, Minnesota",1607,1482,33,0,80,0,14,1607,12,1595,1605,2
"Oronoco township, Olmsted County, Minnesota",2047,1940,14,26,85,0,8,2047,34,2013,2021,26
"Pine Island city, Olmsted County, Minnesota",835,835,0,0,0,0,0,835,12,823,835,0
"Pleasant Grove township, Olmsted County, Minnesota",750,750,3,0,0,0,0,750,8,742,747,3
"Quincy township, Olmsted County, Minnesota",415,411,2,0,2,0,0,415,0,415,415,0
"Rochester city, Olmsted County, Minnesota",112683,93977,9751,854,9939,50,1629,112683,6520,106163,109342,3341
"Rochester township, Olmsted County, Minnesota",1624,1505,31,2,132,0,0,1624,40,1584,1578,46
"Rock Dell township, Olmsted County, Minnesota",624,621,3,0,0,0,0,624,0,624,624,0
"Salem township, Olmsted County, Minnesota",1290,1279,14,0,0,0,0,1290,23,1267,1287,3
"Stewartville city, Olmsted County, Minnesota",6115,6022,122,43,10,0,130,6115,201,5914,5903,212
"Viola township, Olmsted County, Minnesota",512,500,10,0,8,0,0,512,0,512,506,6
"Aastad township, Otter Tail County, Minnesota",150,150,0,0,0,0,0,150,0,150,150,0
"Amor township, Otter Tail County, Minnesota",520,503,21,18,4,0,0,520,1,519,502,18
"Aurdal township, Otter Tail County, Minnesota",1748,1712,18,3,5,4,20,1748,24,1724,1734,14
"Battle Lake city, Otter Tail County, Minnesota",735,727,12,9,0,0,0,735,2,733,722,13
"Blowers township, Otter Tail County, Minnesota",335,334,1,0,0,0,0,335,2,333,335,0
"Bluffton city, Otter Tail County, Minnesota",155,155,0,0,1,0,0,155,0,155,154,1
"Bluffton township, Otter Tail County, Minnesota",479,479,0,1,0,0,0,479,26,453,478,1
"Buse township, Otter Tail County, Minnesota",476,462,10,1,0,0,6,476,11,465,473,3
"Butler township, Otter Tail County, Minnesota",231,229,0,7,2,0,0,231,7,224,224,7
"Candor township, Otter Tail County, Minnesota",547,539,0,37,2,0,4,547,9,538,512,35
"Carlisle township, Otter Tail County, Minnesota",124,124,0,0,0,0,0,124,2,122,124,0
"Clitherall city, Otter Tail County, Minnesota",97,95,0,0,0,2,0,97,2,95,97,0
"Clitherall township, Otter Tail County, Minnesota",510,510,0,5,0,0,0,510,0,510,505,5
"Compton township, Otter Tail County, Minnesota",909,909,0,0,0,0,0,909,0,909,909,0
"Corliss township, Otter Tail County, Minnesota",541,537,0,2,4,0,0,541,0,541,539,2
"Dalton city, Otter Tail County, Minnesota",255,249,8,0,0,0,0,255,0,255,253,2
"Dane Prairie township, Otter Tail County, Minnesota",752,736,10,0,5,0,8,752,17,735,745,7
"Dead Lake township, Otter Tail County, Minnesota",554,535,13,0,0,0,6,554,6,548,554,0
"Deer Creek city, Otter Tail County, Minnesota",239,239,19,12,0,0,0,239,0,239,208,31
"Deer Creek township, Otter Tail County, Minnesota",440,440,0,0,0,0,0,440,0,440,440,0
"Dent city, Otter Tail County, Minnesota",178,177,0,3,2,0,5,178,0,178,169,9
"Dora township, Otter Tail County, Minnesota",748,735,0,12,3,0,0,748,6,742,746,2
"Dunn township, Otter Tail County, Minnesota",765,759,0,3,6,0,0,765,10,755,762,3
"Eagle Lake township, Otter Tail County, Minnesota",384,382,0,20,2,0,0,384,2,382,364,20
"Eastern township, Otter Tail County, Minnesota",149,149,0,0,0,0,0,149,2,147,149,0
"Edna township, Otter Tail County, Minnesota",864,856,5,5,4,0,0,864,8,856,858,6
"Effington township, Otter Tail County, Minnesota",195,195,0,0,0,0,0,195,0,195,195,0
"Elizabeth city, Otter Tail County, Minnesota",160,156,0,0,0,4,0,160,0,160,160,0
"Elizabeth township, Otter Tail County, Minnesota",908,887,11,16,0,0,10,908,10,898,892,16
"Elmo township, Otter Tail County, Minnesota",312,308,8,0,0,0,0,312,0,312,308,4
"Erhard city, Otter Tail County, Minnesota",115,112,0,9,0,0,0,115,1,114,109,6
"Erhards Grove township, Otter Tail County, Minnesota",478,468,9,5,0,0,0,478,10,468,474,4
"Everts township, Otter Tail County, Minnesota",714,712,8,7,0,0,2,714,3,711,699,15
"Fergus Falls city, Otter Tail County, Minnesota",13606,13057,410,88,166,0,4,13606,461,13145,13487,119
"Fergus Falls township, Otter Tail County, Minnesota",927,927,0,0,0,0,0,927,6,921,927,0
"Folden township, Otter Tail County, Minnesota",248,248,0,4,0,0,0,248,0,248,244,4
"Friberg township, Otter Tail County, Minnesota",843,834,1,8,0,0,3,843,5,838,840,3
"Girard township, Otter Tail County, Minnesota",580,570,8,2,0,0,0,580,1,579,580,0
"Gorman township, Otter Tail County, Minnesota",429,428,3,2,0,0,0,429,0,429,425,4
"Henning city, Otter Tail County, Minnesota",923,903,13,15,9,0,2,923,11,912,904,19
"Henning township, Otter Tail County, Minnesota",273,273,0,0,0,0,0,273,1,272,273,0
"Hobart township, Otter Tail County, Minnesota",749,734,10,15,0,0,7,749,12,737,732,17
"Homestead township, Otter Tail County, Minnesota",430,430,0,3,3,0,0,430,2,428,427,3
"Inman township, Otter Tail County, Minnesota",293,292,1,2,0,1,0,293,1,292,291,2
"Leaf Lake township, Otter Tail County, Minnesota",597,593,4,0,0,0,0,597,0,597,597,0
"Leaf Mountain township, Otter Tail County, Minnesota",294,294,0,0,0,0,0,294,0,294,294,0
"Lida township, Otter Tail County, Minnesota",646,645,0,0,9,9,0,646,15,631,637,9
"Maine township, Otter Tail County, Minnesota",661,620,11,23,0,0,7,661,0,661,661,0
"Maplewood township, Otter Tail County, Minnesota",303,298,1,0,2,0,4,303,5,298,301,2
"Newton township, Otter Tail County, Minnesota",834,834,0,11,0,0,0,834,2,832,823,11
"New York Mills city, Otter Tail County, Minnesota",1367,1316,20,28,4,0,5,1367,13,1354,1361,6
"Nidaros township, Otter Tail County, Minnesota",289,289,2,2,1,0,0,289,0,289,284,5
"Norwegian Grove township, Otter Tail County, Minnesota",251,249,0,0,2,0,0,251,0,251,251,0
"Oak Valley township, Otter Tail County, Minnesota",404,404,0,0,0,0,0,404,4,400,404,0
"Orwell township, Otter Tail County, Minnesota",93,93,0,10,0,0,0,93,0,93,83,10
"Oscar township, Otter Tail County, Minnesota",103,103,0,0,0,0,0,103,8,95,103,0
"Ottertail city, Otter Tail County, Minnesota",501,447,0,9,1,0,56,501,56,445,489,12
"Otter Tail township, Otter Tail County, Minnesota",613,605,6,5,8,0,0,613,4,609,602,11
"Otto township, Otter Tail County, Minnesota",445,445,0,0,0,0,0,445,11,434,445,0
"Paddock township, Otter Tail County, Minnesota",307,306,1,0,0,0,0,307,0,307,307,0
"Parkers Prairie city, Otter Tail County, Minnesota",1025,1023,3,4,2,0,0,1025,0,1025,1018,7
"Parkers Prairie township, Otter Tail County, Minnesota",427,427,0,3,0,0,0,427,0,427,424,3
"Pelican township, Otter Tail County, Minnesota",529,520,0,7,1,0,1,529,12,517,529,0
"Pelican Rapids city, Otter Tail County, Minnesota",2659,1909,326,113,183,0,251,2659,672,1987,2546,113
"Perham city, Otter Tail County, Minnesota",3261,3108,27,60,43,0,94,3261,333,2928,3190,71
"Perham township, Otter Tail County, Minnesota",857,852,9,0,0,0,2,857,14,843,851,6
"Pine Lake township, Otter Tail County, Minnesota",578,576,2,0,0,0,0,578,4,574,578,0
"Richville city, Otter Tail County, Minnesota",100,100,0,0,0,0,0,100,0,100,100,0
"Rothsay city, Otter Tail County, Minnesota",226,221,4,1,0,0,0,226,0,226,226,0
"Rush Lake township, Otter Tail County, Minnesota",922,919,0,0,3,3,0,922,0,922,919,3
"St. Olaf township, Otter Tail County, Minnesota",430,428,2,0,2,0,0,430,0,430,428,2
"Scambler township, Otter Tail County, Minnesota",508,505,2,0,0,0,3,508,3,505,506,2
"Star Lake township, Otter Tail County, Minnesota",365,363,2,0,1,0,0,365,0,365,364,1
