Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Toad Lake township, Becker County, Minnesota",651,651,0,2,0,1,0,651,0,651,648,3
"Two Inlets township, Becker County, Minnesota",312,312,0,3,0,0,0,312,0,312,309,3
"Walworth township, Becker County, Minnesota",81,80,0,0,6,0,0,81,0,81,76,5
"White Earth township, Becker County, Minnesota",770,210,0,584,7,0,9,770,53,717,730,40
"Wolf Lake city, Becker County, Minnesota",18,17,1,0,0,0,0,18,0,18,18,0
"Wolf Lake township, Becker County, Minnesota",213,211,0,0,0,1,1,213,1,212,213,0
"Alaska township, Beltrami County, Minnesota",220,217,0,4,0,0,4,220,3,217,215,5
"Battle township, Beltrami County, Minnesota",91,79,0,16,9,0,0,91,0,91,78,13
"Bemidji city, Beltrami County, Minnesota",14803,12478,398,2528,207,0,0,14803,220,14583,13995,808
"Bemidji township, Beltrami County, Minnesota",3499,3195,116,246,0,11,0,3499,43,3456,3437,62
"Benville township, Beltrami County, Minnesota",83,82,0,0,1,0,0,83,0,83,83,0
"Birch township, Beltrami County, Minnesota",66,64,0,8,0,0,0,66,0,66,60,6
"Blackduck city, Beltrami County, Minnesota",821,726,12,85,7,0,22,821,28,793,790,31
"Brook Lake UT, Beltrami County, Minnesota",181,104,0,77,0,0,0,181,0,181,181,0
"Buzzle township, Beltrami County, Minnesota",241,239,8,2,0,0,0,241,0,241,233,8
"Cormant township, Beltrami County, Minnesota",156,156,0,0,0,0,0,156,0,156,156,0
"Durand township, Beltrami County, Minnesota",216,199,0,22,0,0,0,216,0,216,211,5
"Eckles township, Beltrami County, Minnesota",1511,1301,3,221,6,3,21,1511,45,1466,1467,44
"Frohn township, Beltrami County, Minnesota",1422,1260,5,192,19,0,0,1422,3,1419,1368,54
"Funkley city, Beltrami County, Minnesota",6,6,0,0,0,0,0,6,0,6,6,0
"Grant Valley township, Beltrami County, Minnesota",2405,2108,6,263,27,19,58,2405,112,2293,2329,76
"Hagali township, Beltrami County, Minnesota",328,324,0,2,4,0,0,328,4,324,326,2
"Hamre township, Beltrami County, Minnesota",8,8,0,0,0,0,0,8,0,8,8,0
"Hines township, Beltrami County, Minnesota",576,565,0,19,0,0,0,576,27,549,568,8
"Hornet township, Beltrami County, Minnesota",210,192,3,30,0,0,0,210,0,210,195,15
"Jones township, Beltrami County, Minnesota",153,149,0,6,2,0,0,153,0,153,149,4
"Kelliher city, Beltrami County, Minnesota",266,244,0,22,0,0,0,266,6,260,266,0
"Kelliher township, Beltrami County, Minnesota",120,107,0,29,0,0,0,120,0,120,104,16
"Lammers township, Beltrami County, Minnesota",655,643,5,19,8,0,0,655,52,603,641,14
"Langor township, Beltrami County, Minnesota",172,167,0,7,1,0,0,172,0,172,169,3
"Lee township, Beltrami County, Minnesota",35,34,0,0,3,0,0,35,0,35,33,2
"Liberty township, Beltrami County, Minnesota",657,628,3,18,15,0,0,657,17,640,650,7
"Lower Red Lake UT, Beltrami County, Minnesota",5798,287,47,5508,44,0,0,5798,146,5652,5710,88
"Maple Ridge township, Beltrami County, Minnesota",125,109,0,20,0,0,0,125,3,122,121,4
"Minnie township, Beltrami County, Minnesota",25,25,0,0,0,0,0,25,0,25,25,0
"Moose Lake township, Beltrami County, Minnesota",225,218,0,9,0,0,0,225,9,216,223,2
"Nebish township, Beltrami County, Minnesota",293,285,3,10,0,0,0,293,0,293,288,5
"North Beltrami UT, Beltrami County, Minnesota",63,60,0,11,0,0,0,63,8,55,55,8
"Northern township, Beltrami County, Minnesota",4108,3758,79,313,90,0,41,4108,165,3943,3935,173
"O'Brien township, Beltrami County, Minnesota",19,19,0,0,0,0,0,19,0,19,19,0
"Port Hope township, Beltrami County, Minnesota",618,605,2,32,0,0,4,618,4,614,593,25
"Quiring township, Beltrami County, Minnesota",94,77,17,0,0,0,0,94,0,94,94,0
"Roosevelt township, Beltrami County, Minnesota",234,194,0,44,0,37,0,234,0,234,193,41
"Shooks township, Beltrami County, Minnesota",139,139,0,0,0,0,0,139,0,139,139,0
"Shotley township, Beltrami County, Minnesota",30,30,0,0,0,0,0,30,0,30,30,0
"Shotley Brook UT, Beltrami County, Minnesota",11,11,0,0,0,0,0,11,0,11,11,0
"Solway city, Beltrami County, Minnesota",62,62,0,0,1,0,5,62,5,57,56,6
"Spruce Grove township, Beltrami County, Minnesota",45,45,0,0,0,0,0,45,0,45,45,0
"Steenerson township, Beltrami County, Minnesota",31,22,0,6,4,0,0,31,4,27,30,1
"Sugar Bush township, Beltrami County, Minnesota",405,334,31,54,5,0,3,405,0,405,389,16
"Summit township, Beltrami County, Minnesota",265,265,0,0,0,0,0,265,0,265,265,0
"Taylor township, Beltrami County, Minnesota",117,117,0,3,1,0,0,117,0,117,113,4
"Ten Lake township, Beltrami County, Minnesota",1135,308,24,790,16,21,0,1135,87,1048,1121,14
"Tenstrike city, Beltrami County, Minnesota",189,183,6,1,0,0,0,189,0,189,188,1
"Turtle Lake township, Beltrami County, Minnesota",1249,1233,6,28,8,0,0,1249,8,1241,1223,26
"Turtle River city, Beltrami County, Minnesota",94,94,0,0,0,0,0,94,0,94,94,0
"Turtle River township, Beltrami County, Minnesota",1222,1145,6,89,17,0,0,1222,14,1208,1187,35
"Upper Red Lake UT, Beltrami County, Minnesota",12,4,0,8,0,0,0,12,0,12,12,0
"Waskish township, Beltrami County, Minnesota",88,88,0,0,0,0,0,88,0,88,88,0
"Wilton city, Beltrami County, Minnesota",179,173,8,4,0,0,3,179,5,174,170,9
"Woodrow township, Beltrami County, Minnesota",71,71,0,0,0,0,0,71,0,71,71,0
"Alberta township, Benton County, Minnesota",744,744,4,1,0,0,0,744,0,744,739,5
"Foley city, Benton County, Minnesota",2633,2582,52,21,0,0,24,2633,63,2570,2590,43
"Gilman city, Benton County, Minnesota",223,209,0,1,0,0,14,223,14,209,222,1
"Gilmanton township, Benton County, Minnesota",801,801,5,0,36,0,0,801,3,798,760,41
"Glendorado township, Benton County, Minnesota",732,728,2,25,0,0,0,732,20,712,709,23
"Graham township, Benton County, Minnesota",610,602,4,3,0,1,3,610,4,606,607,3
