precinct,country,county_lat,county_long,constitution,Democratic-Farmer-Labor,american delta,libertarian,green,republican,,Independence,Socialist Workers,Legal Marijuana Now
GORTON TWP|40,Grant County,45.930743,-96.010699,0,11,0,2,0,23,0,0,0,0
HERMAN|45,Grant County,45.930743,-96.010699,0,74,1,9,1,134,1,3,0,1
HOFFMAN|50,Grant County,45.930743,-96.010699,2,119,1,26,1,199,2,5,0,4
LAND TWP|55,Grant County,45.930743,-96.010699,0,45,0,8,1,91,0,2,0,1
LAWRENCE TWP|60,Grant County,45.930743,-96.010699,0,6,0,0,0,45,0,1,0,0
LIEN TWP|65,Grant County,45.930743,-96.010699,0,30,0,2,0,49,0,0,0,0
LOGAN TWP|70,Grant County,45.930743,-96.010699,0,19,0,2,1,25,1,0,0,0
MACSVILLE TWP|75,Grant County,45.930743,-96.010699,0,25,0,3,0,44,0,1,0,0
NORCROSS|80,Grant County,45.930743,-96.010699,0,9,0,1,0,21,0,0,0,0
NORTH OTTAWA TWP|85,Grant County,45.930743,-96.010699,0,4,0,5,0,20,0,0,0,0
PELICAN LAKE TWP|90,Grant County,45.930743,-96.010699,1,88,0,17,1,168,3,7,0,0
POMME DE TERRE TWP|95,Grant County,45.930743,-96.010699,0,32,0,5,0,53,1,4,0,0
ROSEVILLE TWP|100,Grant County,45.930743,-96.010699,1,20,0,5,2,41,0,4,0,0
SANFORD TWP|105,Grant County,45.930743,-96.010699,0,26,0,7,0,55,1,5,0,0
STONY BROOK TWP|110,Grant County,45.930743,-96.010699,0,25,0,2,2,62,0,0,0,0
WENDELL|115,Grant County,45.930743,-96.010699,0,28,0,6,1,53,0,2,0,1
BLOOMINGTON W-1 P-07|5,Hennepin County,45.006121,-93.475228,3,726,0,49,15,570,17,23,0,5
BLOOMINGTON W-1 P-08|10,Hennepin County,45.006121,-93.475228,3,793,1,78,15,598,11,36,0,4
BLOOMINGTON W-1 P-09|15,Hennepin County,45.006121,-93.475228,2,720,3,51,18,412,13,11,1,5
BLOOMINGTON W-1 P-10|20,Hennepin County,45.006121,-93.475228,1,1053,0,66,18,654,22,38,1,5
BLOOMINGTON W-1 P-12|25,Hennepin County,45.006121,-93.475228,2,1108,0,81,26,575,20,34,1,7
BLOOMINGTON W-1 P-14|30,Hennepin County,45.006121,-93.475228,7,911,0,79,20,668,22,42,1,10
BLOOMINGTON W-1 P-15|35,Hennepin County,45.006121,-93.475228,7,598,1,53,10,476,3,38,3,5
BLOOMINGTON W-1 P-30|36,Hennepin County,45.006121,-93.475228,6,1023,2,64,20,611,20,35,0,7
BLOOMINGTON W-2 P-13|40,Hennepin County,45.006121,-93.475228,3,1020,0,81,16,668,13,27,2,7
BLOOMINGTON W-2 P-16|45,Hennepin County,45.006121,-93.475228,10,1517,0,97,33,858,23,57,1,4
BLOOMINGTON W-2 P-21|50,Hennepin County,45.006121,-93.475228,4,753,0,36,15,484,26,26,0,1
BLOOMINGTON W-2 P-23|55,Hennepin County,45.006121,-93.475228,5,1078,2,101,26,624,22,34,0,10
BLOOMINGTON W-2 P-24|60,Hennepin County,45.006121,-93.475228,8,853,0,75,20,667,18,47,1,0
BLOOMINGTON W-2 P-25|65,Hennepin County,45.006121,-93.475228,13,638,1,48,13,702,15,44,1,2
BLOOMINGTON W-2 P-26|70,Hennepin County,45.006121,-93.475228,8,944,1,80,25,635,26,25,1,4
BLOOMINGTON W-2 P-27|71,Hennepin County,45.006121,-93.475228,6,660,0,51,13,467,12,24,0,2
BLOOMINGTON W-3 P-05|75,Hennepin County,45.006121,-93.475228,9,1206,0,85,31,750,6,36,0,7
BLOOMINGTON W-3 P-11|80,Hennepin County,45.006121,-93.475228,6,686,0,61,21,467,10,31,0,1
BLOOMINGTON W-3 P-17|85,Hennepin County,45.006121,-93.475228,1,689,0,31,7,434,15,26,0,1
BLOOMINGTON W-3 P-18|90,Hennepin County,45.006121,-93.475228,0,635,1,37,8,455,21,18,0,4
BLOOMINGTON W-3 P-19|95,Hennepin County,45.006121,-93.475228,6,1093,0,81,33,627,18,33,1,3
BLOOMINGTON W-3 P-20|100,Hennepin County,45.006121,-93.475228,5,900,1,69,20,557,18,42,1,8
BLOOMINGTON W-3 P-22|105,Hennepin County,45.006121,-93.475228,4,875,0,61,8,666,28,35,1,1
BLOOMINGTON W-3 P-28|106,Hennepin County,45.006121,-93.475228,4,848,0,51,18,560,17,39,0,4
BLOOMINGTON W-3 P-29|107,Hennepin County,45.006121,-93.475228,7,730,1,43,24,406,12,23,1,9
BLOOMINGTON W-4 P-01|110,Hennepin County,45.006121,-93.475228,7,745,1,49,29,392,11,29,1,5
BLOOMINGTON W-4 P-02|115,Hennepin County,45.006121,-93.475228,1,1125,0,66,24,486,14,14,2,11
BLOOMINGTON W-4 P-03|120,Hennepin County,45.006121,-93.475228,2,840,2,55,19,639,15,32,1,4
BLOOMINGTON W-4 P-04|125,Hennepin County,45.006121,-93.475228,7,834,1,65,21,561,13,20,0,7
BLOOMINGTON W-4 P-06|130,Hennepin County,45.006121,-93.475228,7,993,3,68,26,662,14,28,2,14
BLOOMINGTON W-4 P-31|131,Hennepin County,45.006121,-93.475228,1,509,0,30,10,337,8,5,0,4
BLOOMINGTON W-4 P-32|132,Hennepin County,45.006121,-93.475228,3,735,0,46,36,403,16,13,0,9
BROOKLYN CENTER P-01|200,Hennepin County,45.006121,-93.475228,8,1163,0,51,38,467,18,23,2,20
BROOKLYN CENTER P-02|205,Hennepin County,45.006121,-93.475228,4,1104,0,40,28,363,23,15,1,14
BROOKLYN CENTER P-03|210,Hennepin County,45.006121,-93.475228,8,1275,1,39,29,577,14,25,2,8
BROOKLYN CENTER P-04|215,Hennepin County,45.006121,-93.475228,5,1507,0,53,30,597,7,42,0,14
BROOKLYN CENTER P-05|220,Hennepin County,45.006121,-93.475228,12,1456,0,68,39,596,17,42,0,12
BROOKLYN CENTER P-06|225,Hennepin County,45.006121,-93.475228,8,938,2,50,30,423,20,32,2,13
BROOKLYN CENTER P-07|230,Hennepin County,45.006121,-93.475228,2,810,0,32,13,298,12,11,0,8
BROOKLYN PARK W-C P-1|300,Hennepin County,45.006121,-93.475228,1,802,0,28,10,206,9,13,0,3
BROOKLYN PARK W-C P-2|305,Hennepin County,45.006121,-93.475228,5,808,0,36,17,355,15,40,0,4
BROOKLYN PARK W-C P-3|310,Hennepin County,45.006121,-93.475228,4,1073,1,32,14,355,3,27,1,9
BROOKLYN PARK W-C P-4|315,Hennepin County,45.006121,-93.475228,1,939,0,22,17,305,12,13,0,6
BROOKLYN PARK W-C P-5|320,Hennepin County,45.006121,-93.475228,4,1137,2,61,12,654,20,47,2,4
BROOKLYN PARK W-C P-6|325,Hennepin County,45.006121,-93.475228,5,1225,0,63,12,669,15,41,0,12
BROOKLYN PARK W-C P-7|330,Hennepin County,45.006121,-93.475228,8,1071,1,48,21,688,12,51,0,7
BROOKLYN PARK W-C P-8|335,Hennepin County,45.006121,-93.475228,4,1071,2,106,11,886,16,63,0,4
BROOKLYN PARK W-E P-1A|340,Hennepin County,45.006121,-93.475228,5,874,1,30,18,377,18,24,0,9
BROOKLYN PARK W-E P-1O|345,Hennepin County,45.006121,-93.475228,4,983,0,59,14,410,12,24,2,8
BROOKLYN PARK W-E P-2|350,Hennepin County,45.006121,-93.475228,6,999,0,47,24,602,15,35,2,8
BROOKLYN PARK W-E P-3|355,Hennepin County,45.006121,-93.475228,5,689,0,24,9,280,10,10,0,7
BROOKLYN PARK W-E P-4A|360,Hennepin County,45.006121,-93.475228,4,1006,0,67,16,816,14,46,0,9
BROOKLYN PARK W-E P-4O|362,Hennepin County,45.006121,-93.475228,0,634,0,23,4,476,9,18,0,1
BROOKLYN PARK W-E P-5|365,Hennepin County,45.006121,-93.475228,2,364,0,27,7,255,6,23,0,3
BROOKLYN PARK W-E P-6A|370,Hennepin County,45.006121,-93.475228,2,956,1,73,21,761,12,40,0,7
BROOKLYN PARK W-E P-6O|375,Hennepin County,45.006121,-93.475228,1,1197,0,69,31,633,22,41,2,1
BROOKLYN PARK W-W P-1O|395,Hennepin County,45.006121,-93.475228,9,943,0,46,29,447,8,24,0,5
BROOKLYN PARK W-W P-1R|397,Hennepin County,45.006121,-93.475228,12,1432,1,61,27,707,26,38,4,14
BROOKLYN PARK W-W P-2|400,Hennepin County,45.006121,-93.475228,5,719,1,27,9,308,15,10,1,4
BROOKLYN PARK W-W P-3|405,Hennepin County,45.006121,-93.475228,1,1438,3,39,24,351,13,17,1,14
BROOKLYN PARK W-W P-4|410,Hennepin County,45.006121,-93.475228,2,1096,0,54,10,558,7,28,0,10
BROOKLYN PARK W-W P-5|415,Hennepin County,45.006121,-93.475228,3,893,0,32,13,303,10,17,0,14
BROOKLYN PARK W-W P-6|420,Hennepin County,45.006121,-93.475228,1,270,0,14,8,161,4,11,0,2
CHAMPLIN W-1 P-01|450,Hennepin County,45.006121,-93.475228,9,1591,4,172,51,1697,28,70,1,19
CHAMPLIN W-2 P-01|455,Hennepin County,45.006121,-93.475228,16,1588,1,147,33,1590,36,64,1,9
CHAMPLIN W-3 P-01|460,Hennepin County,45.006121,-93.475228,19,1277,2,114,36,1419,35,71,2,15
CHAMPLIN W-4 P-01|465,Hennepin County,45.006121,-93.475228,9,1307,1,145,48,1469,22,68,1,9
CHANHASSEN P-01|485,Hennepin County,45.006121,-93.475228,0,0,0,0,0,0,0,0,0,0
CHANHASSEN P-02|490,Hennepin County,45.006121,-93.475228,0,0,0,0,0,0,0,0,0,0
CORCORAN P-01|500,Hennepin County,45.006121,-93.475228,5,479,1,67,12,1205,11,42,1,3
CORCORAN P-02|505,Hennepin County,45.006121,-93.475228,3,454,0,54,6,889,15,27,0,4
CRYSTAL W-1 P-01|550,Hennepin County,45.006121,-93.475228,9,1006,0,81,16,560,16,42,1,4
CRYSTAL W-1 P-02|555,Hennepin County,45.006121,-93.475228,3,455,0,31,11,221,5,26,1,1
CRYSTAL W-1 P-03|557,Hennepin County,45.006121,-93.475228,1,264,0,27,6,179,4,13,0,1
CRYSTAL W-2 P-01|560,Hennepin County,45.006121,-93.475228,12,870,2,85,33,512,10,34,1,11
CRYSTAL W-2 P-02|565,Hennepin County,45.006121,-93.475228,4,663,1,75,13,393,17,35,0,5
CRYSTAL W-2 P-03|567,Hennepin County,45.006121,-93.475228,2,362,0,27,11,143,6,17,2,4
CRYSTAL W-3 P-01|570,Hennepin County,45.006121,-93.475228,1,664,0,60,16,300,9,30,0,4
CRYSTAL W-3 P-02|575,Hennepin County,45.006121,-93.475228,4,877,0,98,20,563,14,23,3,7
CRYSTAL W-3 P-03|577,Hennepin County,45.006121,-93.475228,2,203,0,10,6,121,5,11,0,2
CRYSTAL W-4 P-01|585,Hennepin County,45.006121,-93.475228,1,871,0,45,29,550,16,37,0,13
CRYSTAL W-4 P-02|590,Hennepin County,45.006121,-93.475228,2,710,0,48,18,454,9,23,1,6
DAYTON P-01|640,Hennepin County,45.006121,-93.475228,2,208,1,22,2,335,3,9,2,3
DAYTON P-02|645,Hennepin County,45.006121,-93.475228,1,174,0,21,9,264,3,13,0,3
DAYTON P-03|650,Hennepin County,45.006121,-93.475228,4,633,0,80,22,1028,22,42,0,8
DEEPHAVEN P-01|675,Hennepin County,45.006121,-93.475228,1,600,2,35,9,467,30,30,0,2
DEEPHAVEN P-02|680,Hennepin County,45.006121,-93.475228,2,686,0,48,14,534,27,39,0,3
EDEN PRAIRIE P-01|690,Hennepin County,45.006121,-93.475228,3,869,1,67,15,621,17,41,0,4
EDEN PRAIRIE P-02|695,Hennepin County,45.006121,-93.475228,1,947,0,76,15,674,24,34,0,8
EDEN PRAIRIE P-03|700,Hennepin County,45.006121,-93.475228,0,949,0,57,12,615,22,30,0,7
EDEN PRAIRIE P-04|705,Hennepin County,45.006121,-93.475228,9,981,1,76,20,620,14,35,1,5
EDEN PRAIRIE P-05|710,Hennepin County,45.006121,-93.475228,5,1058,0,91,17,772,27,51,3,9
EDEN PRAIRIE P-06|715,Hennepin County,45.006121,-93.475228,8,890,0,79,21,620,14,45,0,4
EDEN PRAIRIE P-07|720,Hennepin County,45.006121,-93.475228,1,838,1,68,13,636,15,26,0,2
EDEN PRAIRIE P-08|725,Hennepin County,45.006121,-93.475228,3,620,0,50,16,533,19,24,0,0
EDEN PRAIRIE P-09|730,Hennepin County,45.006121,-93.475228,5,1054,0,75,15,910,42,43,0,5
EDEN PRAIRIE P-10|735,Hennepin County,45.006121,-93.475228,4,953,0,91,13,804,40,42,0,3
EDEN PRAIRIE P-11|740,Hennepin County,45.006121,-93.475228,5,844,0,56,17,425,15,20,1,4
EDEN PRAIRIE P-12|745,Hennepin County,45.006121,-93.475228,3,1130,2,61,13,644,23,35,1,2
EDEN PRAIRIE P-13|750,Hennepin County,45.006121,-93.475228,5,957,0,82,11,622,22,50,0,5
EDEN PRAIRIE P-14|755,Hennepin County,45.006121,-93.475228,5,1302,1,94,17,953,28,50,2,8
EDEN PRAIRIE P-15|760,Hennepin County,45.006121,-93.475228,5,1021,1,70,29,660,27,45,2,6
EDEN PRAIRIE P-16|765,Hennepin County,45.006121,-93.475228,2,1222,0,114,16,950,38,57,2,2
EDEN PRAIRIE P-17|770,Hennepin County,45.006121,-93.475228,2,745,0,57,14,602,16,31,1,4
EDEN PRAIRIE P-18|775,Hennepin County,45.006121,-93.475228,5,1062,2,104,21,1044,40,35,0,0
EDEN PRAIRIE P-19A|780,Hennepin County,45.006121,-93.475228,10,1057,0,64,11,882,30,39,0,4
EDEN PRAIRIE P-19B|785,Hennepin County,45.006121,-93.475228,2,541,0,16,7,357,12,21,1,2
EDINA P-01A|850,Hennepin County,45.006121,-93.475228,1,968,3,79,7,625,27,37,0,4
EDINA P-01B|855,Hennepin County,45.006121,-93.475228,0,939,0,47,9,739,34,31,0,4
EDINA P-02|860,Hennepin County,45.006121,-93.475228,3,849,0,50,15,363,20,35,1,2
EDINA P-03|865,Hennepin County,45.006121,-93.475228,2,1211,0,98,10,638,44,46,1,2
EDINA P-04|870,Hennepin County,45.006121,-93.475228,2,1195,3,79,15,332,24,42,2,2
EDINA P-05|875,Hennepin County,45.006121,-93.475228,5,1021,0,86,9,676,32,38,0,2
EDINA P-06|880,Hennepin County,45.006121,-93.475228,3,1028,0,69,19,604,25,28,0,0
EDINA P-07|885,Hennepin County,45.006121,-93.475228,0,738,0,49,3,426,20,27,0,3
EDINA P-08|890,Hennepin County,45.006121,-93.475228,2,949,1,83,14,545,39,18,0,4
EDINA P-09|895,Hennepin County,45.006121,-93.475228,2,969,0,76,14,438,24,36,0,6
EDINA P-10C|900,Hennepin County,45.006121,-93.475228,2,692,0,38,7,486,25,26,0,3
EDINA P-11|905,Hennepin County,45.006121,-93.475228,2,1102,1,73,21,606,28,36,0,5
EDINA P-12|910,Hennepin County,45.006121,-93.475228,1,367,0,34,2,254,9,13,0,0
EDINA P-13|915,Hennepin County,45.006121,-93.475228,2,713,1,27,7,331,18,17,0,3
EDINA P-14|920,Hennepin County,45.006121,-93.475228,3,1226,2,71,16,432,27,29,1,5
EDINA P-15C|925,Hennepin County,45.006121,-93.475228,3,879,0,39,14,641,30,21,1,1
EDINA P-16|930,Hennepin County,45.006121,-93.475228,2,1062,1,42,14,554,25,44,0,7
EDINA P-17|935,Hennepin County,45.006121,-93.475228,3,847,0,31,12,361,23,16,1,4
EDINA P-18|940,Hennepin County,45.006121,-93.475228,4,1493,1,45,20,684,17,30,1,3
EDINA P-19C|945,Hennepin County,45.006121,-93.475228,2,629,0,21,10,468,9,12,0,1
EXCELSIOR P-01|965,Hennepin County,45.006121,-93.475228,5,716,1,52,9,522,18,29,0,6
FORT SNELLING P-01|975,Hennepin County,45.006121,-93.475228,1,57,0,1,4,25,1,3,0,0
GOLDEN VALLEY P-1A|985,Hennepin County,45.006121,-93.475228,3,1108,0,52,34,295,20,26,0,6
GOLDEN VALLEY P-2A|990,Hennepin County,45.006121,-93.475228,4,1550,1,93,19,469,16,51,0,8
GOLDEN VALLEY P-3C|1000,Hennepin County,45.006121,-93.475228,1,1113,1,44,16,296,14,12,0,2
GOLDEN VALLEY P-4|1005,Hennepin County,45.006121,-93.475228,2,996,0,54,21,480,19,23,1,6
GOLDEN VALLEY P-5C|1010,Hennepin County,45.006121,-93.475228,3,1073,2,38,19,300,11,25,0,3
GOLDEN VALLEY P-6|1015,Hennepin County,45.006121,-93.475228,2,1182,2,75,20,520,8,31,1,4
GOLDEN VALLEY P-7B|1020,Hennepin County,45.006121,-93.475228,2,1147,0,58,19,507,18,51,0,5
GOLDEN VALLEY P-8B|1025,Hennepin County,45.006121,-93.475228,1,1196,0,64,26,446,18,28,0,10
GREENFIELD P-01|1050,Hennepin County,45.006121,-93.475228,3,466,0,57,10,1203,13,37,0,4
GREENWOOD P-01|1065,Hennepin County,45.006121,-93.475228,1,251,0,18,3,239,4,12,0,3
HANOVER P-1|1080,Hennepin County,45.006121,-93.475228,0,105,0,18,1,232,1,7,0,2
HOPKINS P-01|1110,Hennepin County,45.006121,-93.475228,2,840,1,54,19,328,9,15,1,8
HOPKINS P-02|1115,Hennepin County,45.006121,-93.475228,2,1231,0,105,22,407,24,44,0,4
HOPKINS P-03|1120,Hennepin County,45.006121,-93.475228,2,793,3,48,27,399,22,14,3,4
HOPKINS P-04|1125,Hennepin County,45.006121,-93.475228,3,963,1,47,28,351,13,27,1,4
HOPKINS P-05|1130,Hennepin County,45.006121,-93.475228,6,947,1,66,24,344,12,43,0,2
HOPKINS P-06|1135,Hennepin County,45.006121,-93.475228,6,1129,2,95,21,523,14,39,0,6
INDEPENDENCE P-01|1150,Hennepin County,45.006121,-93.475228,3,793,0,105,16,1428,32,54,0,6
LONG LAKE P-01|1160,Hennepin County,45.006121,-93.475228,3,529,0,31,13,509,18,21,0,5
LORETTO P-01|1170,Hennepin County,45.006121,-93.475228,2,110,0,26,7,249,3,12,0,0
MAPLE GROVE P-01|1190,Hennepin County,45.006121,-93.475228,5,787,1,78,22,807,13,38,1,6
MAPLE GROVE P-02|1195,Hennepin County,45.006121,-93.475228,9,731,0,68,23,717,10,39,0,8
MAPLE GROVE P-03|1200,Hennepin County,45.006121,-93.475228,4,638,2,75,18,633,9,33,0,8
MAPLE GROVE P-04|1205,Hennepin County,45.006121,-93.475228,7,547,0,45,19,575,23,35,0,2
MAPLE GROVE P-05|1210,Hennepin County,45.006121,-93.475228,9,804,2,70,15,769,21,40,1,3
MAPLE GROVE P-06|1215,Hennepin County,45.006121,-93.475228,4,802,2,60,15,665,20,36,1,3
MAPLE GROVE P-07|1220,Hennepin County,45.006121,-93.475228,3,887,0,73,14,840,23,43,0,5
MAPLE GROVE P-08|1225,Hennepin County,45.006121,-93.475228,4,731,0,64,7,813,20,40,0,3
MAPLE GROVE P-09|1230,Hennepin County,45.006121,-93.475228,6,818,0,96,26,901,16,62,1,1
MAPLE GROVE P-10|1235,Hennepin County,45.006121,-93.475228,3,897,0,66,15,785,13,51,1,4
MAPLE GROVE P-11|1240,Hennepin County,45.006121,-93.475228,9,994,0,88,17,902,21,52,0,3
MAPLE GROVE P-12|1245,Hennepin County,45.006121,-93.475228,6,826,2,67,13,688,18,30,1,2
MAPLE GROVE P-13|1250,Hennepin County,45.006121,-93.475228,5,871,0,99,25,696,16,30,1,4
MAPLE GROVE P-14|1255,Hennepin County,45.006121,-93.475228,1,609,0,81,2,665,16,33,0,6
MAPLE GROVE P-15|1260,Hennepin County,45.006121,-93.475228,1,766,0,79,18,619,21,26,0,5
MAPLE GROVE P-16|1265,Hennepin County,45.006121,-93.475228,7,871,0,76,13,856,24,45,0,3
MAPLE GROVE P-17|1270,Hennepin County,45.006121,-93.475228,5,815,2,75,16,668,19,29,0,5
MAPLE GROVE P-18|1275,Hennepin County,45.006121,-93.475228,5,953,3,74,12,773,30,47,0,7
MAPLE GROVE P-19|1280,Hennepin County,45.006121,-93.475228,1,589,2,56,3,609,14,26,0,1
MAPLE GROVE P-20|1285,Hennepin County,45.006121,-93.475228,2,893,0,98,17,1040,27,55,0,2
MAPLE GROVE P-21|1290,Hennepin County,45.006121,-93.475228,7,880,0,96,9,685,29,23,0,5
MAPLE GROVE P-22|1295,Hennepin County,45.006121,-93.475228,2,737,1,72,6,774,18,50,0,1
MAPLE GROVE P-23|1300,Hennepin County,45.006121,-93.475228,4,587,1,57,12,619,3,37,1,0
MAPLE GROVE P-24|1305,Hennepin County,45.006121,-93.475228,1,366,0,28,4,315,4,11,0,2
MAPLE PLAIN P-01|1335,Hennepin County,45.006121,-93.475228,4,410,0,43,15,481,7,32,1,2
MEDICINE LAKE P-01|1345,Hennepin County,45.006121,-93.475228,0,147,2,13,3,66,2,4,0,2
MEDINA P-1A|1350,Hennepin County,45.006121,-93.475228,8,558,1,54,17,721,28,34,0,1
MEDINA P-1B|1355,Hennepin County,45.006121,-93.475228,5,921,0,88,8,1132,33,48,1,3
MINNEAPOLIS W-1 P-01|1360,Hennepin County,45.006121,-93.475228,1,595,1,29,36,162,12,7,0,10
MINNEAPOLIS W-1 P-02|1365,Hennepin County,45.006121,-93.475228,4,1806,5,72,49,466,33,48,4,15
MINNEAPOLIS W-1 P-03|1370,Hennepin County,45.006121,-93.475228,8,1692,1,77,58,315,17,41,2,8
MINNEAPOLIS W-1 P-04|1375,Hennepin County,45.006121,-93.475228,7,1569,3,78,54,303,11,28,4,15
MINNEAPOLIS W-1 P-05|1380,Hennepin County,45.006121,-93.475228,2,1307,1,49,37,255,18,35,2,3
MINNEAPOLIS W-1 P-06|1385,Hennepin County,45.006121,-93.475228,7,1615,1,74,65,300,21,41,2,12
MINNEAPOLIS W-1 P-07|1390,Hennepin County,45.006121,-93.475228,1,1267,1,75,83,196,18,63,4,5
MINNEAPOLIS W-1 P-08|1395,Hennepin County,45.006121,-93.475228,3,1002,0,36,43,143,13,11,3,6
MINNEAPOLIS W-1 P-09|1400,Hennepin County,45.006121,-93.475228,4,1702,0,60,77,289,25,24,5,13
MINNEAPOLIS W-1 P-10|1405,Hennepin County,45.006121,-93.475228,2,634,2,28,26,169,9,7,2,7
MINNEAPOLIS W-10 P-01|1805,Hennepin County,45.006121,-93.475228,3,1703,1,50,73,136,13,10,2,11
MINNEAPOLIS W-10 P-02|1810,Hennepin County,45.006121,-93.475228,2,2478,1,148,65,429,39,38,0,8
MINNEAPOLIS W-10 P-03A|1815,Hennepin County,45.006121,-93.475228,0,1437,0,48,28,210,10,18,0,11
MINNEAPOLIS W-10 P-03B|1817,Hennepin County,45.006121,-93.475228,0,0,0,0,0,0,0,0,0,0
MINNEAPOLIS W-10 P-04|1820,Hennepin County,45.006121,-93.475228,3,1452,4,69,42,178,10,13,5,2
MINNEAPOLIS W-10 P-05A|1825,Hennepin County,45.006121,-93.475228,2,1235,2,40,35,133,16,10,0,9
MINNEAPOLIS W-10 P-05B|1827,Hennepin County,45.006121,-93.475228,0,0,0,0,0,0,0,0,0,0
MINNEAPOLIS W-10 P-06|1830,Hennepin County,45.006121,-93.475228,4,1834,0,70,51,206,23,20,2,9
MINNEAPOLIS W-10 P-07|1835,Hennepin County,45.006121,-93.475228,0,1291,2,43,65,113,15,19,5,6
MINNEAPOLIS W-10 P-08|1840,Hennepin County,45.006121,-93.475228,1,1151,1,35,45,66,16,3,3,4
MINNEAPOLIS W-10 P-09|1845,Hennepin County,45.006121,-93.475228,2,1673,0,51,98,145,24,21,6,14
MINNEAPOLIS W-10 P-10|1850,Hennepin County,45.006121,-93.475228,3,1458,1,54,41,133,12,13,2,7
MINNEAPOLIS W-11 P-01|1860,Hennepin County,45.006121,-93.475228,2,1317,0,37,29,166,12,20,1,2
MINNEAPOLIS W-11 P-02|1865,Hennepin County,45.006121,-93.475228,5,1732,0,49,24,310,17,27,2,3
MINNEAPOLIS W-11 P-03|1870,Hennepin County,45.006121,-93.475228,3,1469,1,64,19,257,13,23,3,9
MINNEAPOLIS W-11 P-04|1875,Hennepin County,45.006121,-93.475228,4,2026,0,81,46,260,26,26,2,7
MINNEAPOLIS W-11 P-05|1880,Hennepin County,45.006121,-93.475228,2,1117,0,44,8,152,17,18,3,3
MINNEAPOLIS W-11 P-06|1885,Hennepin County,45.006121,-93.475228,3,1789,1,68,35,338,15,28,1,9
MINNEAPOLIS W-11 P-07|1890,Hennepin County,45.006121,-93.475228,0,1600,1,57,33,348,20,57,2,6
MINNEAPOLIS W-11 P-08|1895,Hennepin County,45.006121,-93.475228,5,1426,2,64,41,371,16,33,2,9
MINNEAPOLIS W-11 P-09|1900,Hennepin County,45.006121,-93.475228,1,853,0,46,24,191,6,16,0,5
MINNEAPOLIS W-11 P-10|1902,Hennepin County,45.006121,-93.475228,3,1119,0,44,25,283,13,34,0,4
MINNEAPOLIS W-12 P-01|1905,Hennepin County,45.006121,-93.475228,3,1874,0,50,65,236,17,29,3,7
MINNEAPOLIS W-12 P-02|1910,Hennepin County,45.006121,-93.475228,3,1737,0,46,55,243,9,26,0,6
MINNEAPOLIS W-12 P-03|1915,Hennepin County,45.006121,-93.475228,10,2000,0,60,48,295,14,35,3,15
MINNEAPOLIS W-12 P-04|1920,Hennepin County,45.006121,-93.475228,1,960,2,28,29,147,13,16,0,4
MINNEAPOLIS W-12 P-05|1925,Hennepin County,45.006121,-93.475228,0,1294,0,40,31,203,17,31,0,6
MINNEAPOLIS W-12 P-06|1930,Hennepin County,45.006121,-93.475228,2,1106,0,36,30,198,17,21,1,5
MINNEAPOLIS W-12 P-07|1935,Hennepin County,45.006121,-93.475228,2,82,0,4,1,47,1,1,2,2
MINNEAPOLIS W-12 P-08|1940,Hennepin County,45.006121,-93.475228,3,864,0,27,40,100,8,14,5,4
MINNEAPOLIS W-12 P-09|1945,Hennepin County,45.006121,-93.475228,3,1248,1,50,38,221,14,32,2,7
MINNEAPOLIS W-12 P-10|1950,Hennepin County,45.006121,-93.475228,2,1250,0,74,53,352,20,16,0,12
MINNEAPOLIS W-12 P-11|1955,Hennepin County,45.006121,-93.475228,2,1087,0,40,42,209,13,29,2,7
MINNEAPOLIS W-12 P-12|1956,Hennepin County,45.006121,-93.475228,5,1919,0,57,72,270,25,35,6,8
MINNEAPOLIS W-12 P-13|1957,Hennepin County,45.006121,-93.475228,2,820,1,38,16,175,8,22,0,3
MINNEAPOLIS W-13 P-01|1960,Hennepin County,45.006121,-93.475228,1,1557,0,98,34,354,32,28,0,5
MINNEAPOLIS W-13 P-02|1965,Hennepin County,45.006121,-93.475228,4,913,1,29,16,155,14,12,0,1
MINNEAPOLIS W-13 P-03|1970,Hennepin County,45.006121,-93.475228,1,1335,2,46,11,143,15,16,0,4
MINNEAPOLIS W-13 P-04|1975,Hennepin County,45.006121,-93.475228,3,1343,0,46,17,207,21,16,0,4
MINNEAPOLIS W-13 P-05|1980,Hennepin County,45.006121,-93.475228,1,1238,0,49,23,152,15,24,0,3
MINNEAPOLIS W-13 P-06|1985,Hennepin County,45.006121,-93.475228,0,1560,0,58,16,170,26,22,0,4
MINNEAPOLIS W-13 P-07|1990,Hennepin County,45.006121,-93.475228,1,2092,0,81,31,337,17,36,2,4
MINNEAPOLIS W-13 P-08|1995,Hennepin County,45.006121,-93.475228,4,1487,1,65,13,276,22,26,3,2
MINNEAPOLIS W-13 P-09|2000,Hennepin County,45.006121,-93.475228,5,1878,0,87,45,435,24,31,0,7
MINNEAPOLIS W-13 P-10|2005,Hennepin County,45.006121,-93.475228,0,885,0,21,14,89,9,11,0,2
MINNEAPOLIS W-13 P-11|2010,Hennepin County,45.006121,-93.475228,1,1287,0,39,14,237,20,25,1,3
MINNEAPOLIS W-13 P-12|2015,Hennepin County,45.006121,-93.475228,1,853,0,26,16,111,9,9,0,1
MINNEAPOLIS W-13 P-13|2020,Hennepin County,45.006121,-93.475228,1,1290,0,46,16,136,23,21,3,4
